log10n,log10bn
-1.6989700043360187,-7.762414885833107
-1.6789700043360187,-7.42305275807364
-1.6589700043360187,-7.098905999434377
-1.6389700043360187,-6.789287199361722
-1.6189700043360187,-6.493539783630347
-1.5989700043360187,-6.2110366058654005
-1.5789700043360186,-5.941178616843314
-1.5589700043360186,-5.683393582127631
-1.5389700043360188,-5.437134861428591
-1.5189700043360188,-5.201880230381868
-1.4989700043360188,-4.97713075431438
-1.4789700043360188,-4.762409702299137
-1.4589700043360188,-4.557261515136065
-1.4389700043360187,-4.361250781955375
-1.4189700043360187,-4.1739612801185855
-1.3989700043360187,-3.9949950426351846
-1.3789700043360187,-3.8239714570291783
-1.3589700043360187,-3.660526401291791
-1.3389700043360189,-3.5043114173441
-1.3189700043360189,-3.3549929188542102
-1.2989700043360188,-3.212251440825648
-1.2789700043360188,-3.075780929365105
-1.2589700043360188,-2.9452880748984196
-1.2389700043360188,-2.820491690186
-1.2189700043360188,-2.7011221341507343
-1.1989700043360187,-2.5869207818269224
-1.1789700043360187,-2.477639539807097
-1.1589700043360187,-2.373040405671353
-1.1389700043360187,-2.272895068955074
-1.1189700043360187,-2.1769845503977234
-1.0989700043360187,-2.0850988755402113
-1.0789700043360186,-1.9970367782552
-1.0589700043360186,-1.9126054295231467
-1.0389700043360186,-1.8316201867119544
-1.0189700043360186,-1.7539043587657546
-0.9989700043360187,-1.6792889830318345
-0.9789700043360188,-1.6076126099167167
-0.9589700043360188,-1.5387210921215475
-0.9389700043360187,-1.4724673758202236
-0.9189700043360187,-1.4087112917717908
-0.8989700043360187,-1.3473193449671406
-0.8789700043360187,-1.2881645019718417
-0.8589700043360188,-1.2311259756226884
-0.8389700043360188,-1.1760890071530676
-0.8189700043360187,-1.1229446461574717
-0.7989700043360187,-1.0715895290560695
-0.7789700043360187,-1.0219256568962132
-0.7589700043360187,-0.9738601734308111
-0.7389700043360188,-0.9273051444585078
-0.7189700043360188,-0.8821773394056446
-0.6989700043360187,-0.8383980160856097
-0.6789700043360187,-0.7958927094990598
-0.6589700043360187,-0.7545910254454691
-0.6389700043360187,-0.7144264396121036
-0.6189700043360187,-0.6753361026963205
-0.5989700043360187,-0.6372606520066505
-0.5789700043360186,-0.6001440298812959
-0.5589700043360186,-0.5639333091624298
-0.5389700043360188,-0.5285785258729254
-0.5189700043360188,-0.49403251916011853
-0.4989700043360188,-0.4602507784994256
-0.4789700043360188,-0.42719129808913964
-0.45897000433601876,-0.3948144383163984
-0.43897000433601874,-0.36308279413214245
-0.4189700043360187,-0.33196107013979237
-0.3989700043360187,-0.30141596217683014
-0.3789700043360187,-0.2714160451500425
-0.35897000433601867,-0.2419316668728047
-0.33897000433601865,-0.21293484764553908
-0.31897000433601863,-0.18439918531763033
-0.2989700043360186,-0.15629976556978808
-0.2789700043360188,-0.1286130771594307
-0.2589700043360188,-0.10131693187749982
-0.23897000433601878,-0.07439038897268088
-0.21897000433601876,-0.0478136838077584
-0.19897000433601875,-0.021568160522452376
-0.17897000433601873,0.0043637915128292865
-0.1589700043360187,0.0299987976575634
-0.1389700043360187,0.05535255457094812
-0.11897000433601868,0.08043988357580198
-0.09897000433601866,0.10527478099146818
-0.07897000433601864,0.12987046560123366
-0.05897000433601862,0.15423942341074762
-0.038970004336018604,0.17839344984541686
-0.01897000433601881,0.20234368952670448
0.0010299956639812091,0.2261006737597354
0.021029995663981227,0.24967435585753037
0.041029995663981245,0.27307414442058325
0.06102999566398126,0.296308934684288
0.08102999566398128,0.3193871380409255
0.1010299956639813,0.34231670983744783
0.12102999566398132,0.36510517554518146
0.14102999566398133,0.3877596553926956
0.16102999566398135,0.41028688754852893
0.18102999566398137,0.43269324993607144
0.2010299956639814,0.45498478075879556
0.22102999566398118,0.4771671978100315
0.2410299956639812,0.4992459166377409
0.2610299956639812,0.5212260676310901
0.28102999566398124,0.5431125120921692
0.30102999566398125,0.5649098573528686
0.32102999566398127,0.5866224709937246
0.3410299956639813,0.6082544942184775
0.3610299956639813,0.6298098544351417
0.3810299956639813,0.6512922770915703
0.40102999566398134,0.6727052968107831
0.42102999566398136,0.6940522678687557
0.4410299956639814,0.7153363740548849
0.4610299956639814,0.7365606379529878
0.4810299956639814,0.7577279296784694
0.5010299956639814,0.7788409751051238
0.5210299956639814,0.7999023636130366
0.5410299956639815,0.8209145553871129
0.5610299956639815,0.8418798882939499
0.5810299956639815,0.8628005843630359
0.6010299956639815,0.8836787558966439
0.6210299956639811,0.904516411231252
0.6410299956639811,0.9253154601718718
0.6610299956639811,0.9460777191193175
0.6810299956639811,0.9668049159091696
0.7010299956639812,0.9874986943799824
0.7210299956639812,1.0081606186871594
0.7410299956639812,1.028792177377893
0.7610299956639812,1.049394787241526
0.7810299956639812,1.0699697969488287
0.8010299956639813,1.0905184904927745
0.8210299956639813,1.1110420904426221
0.8410299956639813,1.131541761022326
0.8610299956639813,1.1520186110236241
0.8810299956639813,1.1724736965634768
0.9010299956639813,1.1929080236949097
0.9210299956639814,1.213322550879753
0.9410299956639814,1.233718191331235
0.9610299956639814,1.2540958152338704
0.9810299956639814,1.274456251847639
1.0010299956639814,1.2948002915029981
1.0210299956639814,1.3151286874928823
1.0410299956639815,1.3354421578674505
1.0610299956639815,1.3557413871369808
1.0810299956639815,1.3760270278880298
1.1010299956639815,1.3962997023175803
1.121029995663981,1.4165600036897044
1.1410299956639811,1.4368084977189381
1.1610299956639811,1.4570457238843266
1.1810299956639811,1.4772721966778928
